set_num,name,num_parts
00-1,Weetabix Castle,471
0011-2,Town Mini-Figures,12
0011-3,Castle 2 for 1 Bonus Offer,2
0012-1,Space Mini-Figures,12
0013-1,Space Mini-Figures,12
0014-1,Space Mini-Figures,12
0015-1,Space Mini-Figures,18
0016-1,Castle Mini Figures,15
00-2,Weetabix Promotional House 1,147
00-3,Weetabix Promotional House 2,149
00-4,Weetabix Promotional Windmill,126
005-1,Basic Building Set in Cardboard,35
00-6,Special Offer,3
00-7,Weetabix Promotional Lego Village,3
010-1,Basic Building Set in Cardboard,57
010-3,Basic Building Set,77
011-1,Basic Building Set,145
022-1,Basic Building Set,110
03093-1,The Race to Build It Board Game,70
033-2,Basic Building Set,177
044-1,Basic Building Set,225
055-2,Basic Building Set,256
066-1,Basic Building Set,407
080-1,Basic Building Set with Train,710
088-1,Super Set,615
10000-1,Guarded Inn,256
10001-1,Metroliner,785
10002-1,Railroad Club Car,272
10003-1,1 x 2 Sand Red Bricks,100
10004-1,2 x 2 Sand Red Bricks,100
10005-1,2 x 4 Sand Red Bricks,50
10006-1,1 x 6 Sand Red Bricks,50
10007-1,2 x 4 Sand Red Ridge Roof Tiles Steep Slope,25
10008-1,2 x 4 Roof Tile Sand Red,50
10009-1,Assorted Blue Bricks,62
100-1,4.5V Motor with Wheels (Small Version),16
10010-1,Assorted Yellow Bricks,63
10011-1,Assorted Blue Plates,42
10012-1,Assorted Yellow Plates,42
10013-1,Open Freight Wagon,121
10014-1,Caboose,170
10015-1,Passenger Wagon,194
10016-1,Tanker,128
10017-1,Hopper Wagon,228
10018-1,Darth Maul,1868
10019-1,Rebel Blockade Runner - UCS,1747
100-2,4.5V Motor with Wheels (Large Version),27
10020-1,"Santa Fe Super Chief, NOT the Limited Edition",427
10020-2,"Santa Fe Super Chief, Limited Edition",433
10021-1,U.S.S. Constellation,974
10022-1,"Santa Fe Cars - Set II (dining, observation, or sleeping car)",410
10023-1,Master Builder Set,112
10024-1,Red Baron,669
10025-1,Santa Fe Cars - Set I (mail or baggage car),325
10026-1,Naboo Starfighter - UCS,187
10027-1,Train Engine Shed,670
10029-1,Lunar Lander,468
10030-1,Imperial Star Destroyer - UCS,3115
10036-1,Pizza To Go,150
10037-1,Breezeway Cafe,194
10039-1,Black Falcon's Fortress,431
10040-1,Black Seas Barracuda,914
10041-1,"Main Street, Reissue",639
10042-1,American Flag,35
10043-1,2x2 Electrical Plate,1
10044-1,Windows and Doors,44
10045-1,Pillars and Beams,13
10046-1,Brown Tiles,100
10047-1,Light Gray Arches,36
10048-1,Small Wheels and Axles,61
10049-1,Large Wheels and Axles,31
10050-1,Gray Fences,34
10051-1,Transparent Bricks,50
10053-1,Black Slopes 33,44
10054-1,Black Slopes 33 3 x 2 and 3 x 4,68
10055-1,Black Slopes 33 3 x 1 and 3 x 3,50
10056-1,White Plates 2 x n,56
10057-1,Black Plates 2 x n,56
10058-1,Red Plates 2 x n,56
10059-1,Dark Green Plates 2 x n,56
10060-1,Light Gray Plates 2 x n,56
10061-1,Black Plates 1 x n,84
10062-1,Red Plates 1 x n,84
10063-1,Dark Green Plates 1 x n,84
10064-1,Light Gray Plates 1 x n,84
10065-1,White Plates 1 x n,84
10066-1,Castle Accessories,41
10067-1,Mini-Fig Headgear,53
10068-1,Santa Claus,39
10069-1,Christmas Tree,33
10070-1,Reindeer,26
10071-1,Mr. Bunny,25
10072-1,TECHNIC Beams,56
10073-1,Bushes,130
10074-1,Cross Axles,68
10075-1,Spider-Man Action Pack,25
10076-1,TECHNIC Gear Wheels,38
10077-1,TECHNIC Motor,55
10078-1,Train Connection Wire,1
10079-1,Snowman,42
10080-1,Angel,33
10081-1,Birthday Pack Heart,70
10082-1,Birthday Pack Daisy,70
10083-1,Birthday Pack Star,70
10090-1,Turkey,54
10106-1,Snowflake,107
101-1,4.5V Battery Case,1
10111-1,Foliferous Tree,10
10112-1,Bush,25
10113-1,Cypress Trees,5
10114-1,2 x 2 Sand Red Roof Tiles,100
10115-1,Jumper Bricks,80
10116-1,Accessories Heart,50
10117-1,Accessories Daisy,50
10118-1,Accessories Star,50
10121-1,NBA Basketball Teams,16
10123-1,Cloud City,707
10124-1,Wright Flyer,663
10127-1,NHL Action Set with Stickers,56
10128-1,Train Level Crossing,326
